Time Stamp,NTP Epoch Time (s),Time (s),0: TC0_Amb (°C),1: TC1_S1 (°C),2: TC2_S2 (°C),<-- Ceiling TC3 (°C),<-- Target 1 TC4 (°C),5: TC5_P2 (°C),6: TC6_P3 (°C),7: TC7_M1R (°C),8: TC8_M2L (°C),Heat Release Rate (kW),Time from Ignition (Minutes)
9/26/18 10:01,1537970476,-665.9999695,25.03,24.95,24.92,24.78,25.29,25.43,24.89,25.43,25.02,-14.4232,-11.09999949
9/26/18 10:01,1537970477,-664.9999695,25.02,24.95,24.92,24.77,25.29,25.42,24.88,25.42,25.03,-16.77,-11.08333282
9/26/18 10:01,1537970478,-663.9999695,24.93,24.95,24.92,24.78,25.3,25.43,24.89,25.43,25.03,-12.3959,-11.06666616
9/26/18 10:01,1537970479,-662.9999695,24.86,24.95,24.92,24.77,25.29,25.43,24.89,25.43,25.03,-12.0522,-11.04999949
9/26/18 10:01,1537970480,-661.9999695,24.79,24.95,24.92,24.77,25.3,25.42,24.89,25.42,25.04,-8.5005,-11.03333282
9/26/18 10:01,1537970481,-660.9999695,24.78,24.95,24.91,24.78,25.3,25.42,24.88,25.43,25.04,-8.7335,-11.01666616
9/26/18 10:01,1537970482,-659.9999695,24.77,24.95,24.92,24.78,25.3,25.44,24.89,25.43,25.05,-8.7503,-10.99999949
9/26/18 10:01,1537970483,-658.9999695,24.72,24.95,24.92,24.77,25.3,25.43,24.88,25.43,25.04,-11.1552,-10.98333282
9/26/18 10:01,1537970484,-657.9999695,24.7,24.94,24.92,24.77,25.3,25.43,24.89,25.42,25.05,-11.145,-10.96666616
9/26/18 10:01,1537970485,-656.9999695,24.65,24.95,24.92,24.78,25.3,25.42,24.89,25.43,25.06,-17.4469,-10.94999949
9/26/18 10:01,1537970486,-655.9999705,24.59,24.94,24.92,24.77,25.3,25.42,24.89,25.43,25.05,-17.8805,-10.93333284
9/26/18 10:01,1537970487,-654.9999705,24.55,24.95,24.92,24.78,25.3,25.43,24.89,25.43,25.05,-14.1774,-10.91666617
9/26/18 10:01,1537970488,-653.9999705,24.61,24.95,24.93,24.78,25.31,25.44,24.89,25.44,25.06,-15.0034,-10.89999951
9/26/18 10:01,1537970489,-652.9999705,24.58,24.96,24.92,24.79,25.3,25.43,24.89,25.45,25.06,-15.3203,-10.88333284
9/26/18 10:01,1537970490,-651.9999705,24.55,24.94,24.92,24.78,25.3,25.42,24.89,25.44,25.06,-13.1211,-10.86666617
9/26/18 10:01,1537970491,-650.9999705,24.53,24.96,24.92,24.78,25.3,25.43,24.89,25.44,25.06,-12.2629,-10.84999951
9/26/18 10:01,1537970492,-649.9999705,24.61,24.94,24.93,24.78,25.3,25.43,24.89,25.43,25.06,-17.5885,-10.83333284
9/26/18 10:01,1537970493,-648.9999705,24.78,24.95,24.93,24.78,25.3,25.43,24.9,25.44,25.06,-20.2971,-10.81666617
9/26/18 10:01,1537970494,-647.9999705,24.84,24.96,24.93,24.78,25.3,25.44,24.9,25.45,25.06,-14.7384,-10.79999951
9/26/18 10:01,1537970495,-646.9999715,24.93,24.94,24.92,24.78,25.29,25.43,24.89,25.43,25.06,-9.3087,-10.78333286
9/26/18 10:01,1537970496,-645.9999715,25,24.94,24.92,24.78,25.29,25.42,24.89,25.44,25.06,-12.5805,-10.76666619
9/26/18 10:01,1537970497,-644.9999715,25.07,24.94,24.93,24.78,25.3,25.43,24.9,25.44,25.06,-13.1953,-10.74999952
9/26/18 10:01,1537970498,-643.9999715,25.05,24.95,24.93,24.78,25.29,25.43,24.9,25.44,25.07,-14.3584,-10.73333286
9/26/18 10:01,1537970499,-642.9999715,25.04,24.95,24.93,24.79,25.29,25.43,24.9,25.45,25.06,-18.0921,-10.71666619
9/26/18 10:01,1537970500,-641.9999715,25.12,24.95,24.93,24.79,25.29,25.43,24.9,25.45,25.07,-16.5886,-10.69999952
9/26/18 10:01,1537970501,-640.9999715,25.38,24.94,24.93,24.78,25.3,25.43,24.9,25.43,25.07,-15.9719,-10.68333286
9/26/18 10:01,1537970502,-639.9999715,25.46,24.95,24.93,24.78,25.29,25.43,24.9,25.44,25.07,-16.4196,-10.66666619
9/26/18 10:01,1537970503,-638.9999715,25.33,24.96,24.93,24.77,25.29,25.43,24.9,25.44,25.08,-17.7975,-10.64999952
9/26/18 10:01,1537970504,-637.9999715,25.16,24.96,24.94,24.78,25.29,25.43,24.9,25.44,25.08,-13.7209,-10.63333286
